,country_code,level_1,year,gpc_growth,year_gap,annual_growth
6695,HRV,9709,1968,0.038091536362777845,1,0.038091536362777845
6696,HRV,9856,1969,0.06818734821800376,1,0.06818734821800376
6697,HRV,10006,1970,0.06391649241533237,1,0.06391649241533237
6698,HRV,10156,1971,0.07309555507055165,1,0.07309555507055165
6699,HRV,10306,1972,0.022744787203116346,1,0.022744787203116346
6700,HRV,10461,1973,0.03445665867419123,1,0.03445665867419123
6701,HRV,10620,1974,0.07888284334896412,1,0.07888284334896412
6702,HRV,10773,1975,0.024309999071531863,1,0.024309999071531863
6703,HRV,10926,1976,0.036982487352233306,1,0.036982487352233306
6704,HRV,11079,1977,0.07683386321404484,1,0.07683386321404484
6705,HRV,11232,1978,0.06860417203507119,1,0.06860417203507119
6706,HRV,11385,1979,0.053572294261904574,1,0.053572294261904574
6707,HRV,11543,1980,0.014074536380189073,1,0.014074536380189073
6708,HRV,11710,1981,-0.0007710298770522428,1,-0.0007710298770522428
6709,HRV,11877,1982,-0.004122229777150821,1,-0.004122229777150821
6710,HRV,12044,1983,-0.020237481990811546,1,-0.020237481990811546
6711,HRV,12211,1984,0.018842385270364304,1,0.018842385270364304
6712,HRV,12378,1985,-0.0025886631075096034,1,-0.0025886631075096034
6713,HRV,12546,1986,0.02452822729616244,1,0.02452822729616244
6714,HRV,12714,1987,-0.0037502577909318546,1,-0.0037502577909318546
6715,HRV,12882,1988,-0.010925164823801126,1,-0.010925164823801126
6716,HRV,13050,1989,-0.017607000335095435,1,-0.017607000335095435
6717,HRV,13218,1990,-0.0751654648689204,1,-0.0751654648689204
6718,HRV,13386,1991,-0.24413105377005806,1,-0.24413105377005806
6719,HRV,13554,1992,-0.1133890796822925,1,-0.1133890796822925
6720,HRV,13723,1993,-0.08063342272441076,1,-0.08063342272441076
6721,HRV,13892,1994,0.05270640162630258,1,0.05270640162630258
6722,HRV,14061,1995,0.06987577630095387,1,0.06987577630095387
6723,HRV,14230,1996,0.06502103019397687,1,0.06502103019397687
6724,HRV,14399,1997,0.06905075693167362,1,0.06905075693167362
6725,HRV,14568,1998,0.024086296338337476,1,0.024086296338337476
6726,HRV,14737,1999,-0.00668058177974018,1,-0.00668058177974018
6727,HRV,14906,2000,0.036426897601369745,1,0.036426897601369745
6728,HRV,15075,2001,0.02733152108745074,1,0.02733152108745074
6729,HRV,15244,2002,0.04576120862425448,1,0.04576120862425448
6730,HRV,15413,2003,0.05440526848742344,1,0.05440526848742344
